# k [h/Mpc], P [Mpc/h]^3, N
# courtesy: H. Gil-Marin
5.268000000000000113e-03 -1.985171448900000178e+04 3.200000000000000000e+01
5.806000000000000397e-03 1.201810470749999949e+05 7.200000000000000000e+01
6.454999999999999800e-03 9.441521456300000136e+04 5.400000000000000000e+01
6.956999999999999643e-03 1.637290180300000065e+04 1.320000000000000000e+02
7.655999999999999611e-03 2.172912805200000003e+04 7.800000000000000000e+01
8.220999999999999142e-03 -4.991495910100000037e+04 1.760000000000000000e+02
9.011999999999999178e-03 4.555944755299999815e+04 2.040000000000000000e+02
9.870000000000000301e-03 -5.029677828099999897e+04 2.940000000000000000e+02
1.076799999999999979e-02 2.544894509800000014e+04 3.140000000000000000e+02
1.164600000000000010e-02 6.743985746199999994e+04 4.320000000000000000e+02
1.271599999999999987e-02 -2.619943914800000130e+04 5.820000000000000000e+02
1.386199999999999932e-02 -1.520240931099999943e+04 7.220000000000000000e+02
1.507000000000000006e-02 -2.061419278699999995e+04 9.300000000000000000e+02
1.642899999999999916e-02 -7.400620686000000205e+03 1.280000000000000000e+03
1.796899999999999886e-02 -7.054659690999999839e+03 1.674000000000000000e+03
1.960200000000000137e-02 -6.488134195999999974e+03 2.048000000000000000e+03
2.137700000000000017e-02 1.033819548000000032e+04 2.810000000000000000e+03
2.332499999999999851e-02 1.282149372100000073e+04 3.534000000000000000e+03
2.545400000000000093e-02 1.907147590900000068e+04 4.682000000000000000e+03
2.776700000000000002e-02 6.311404693000000407e+03 5.948000000000000000e+03
3.029099999999999848e-02 -5.419978807000000415e+03 7.904000000000000000e+03
3.303899999999999892e-02 -1.025799295000000029e+03 1.001000000000000000e+04
3.604399999999999965e-02 -3.901749797999999828e+03 1.330400000000000000e+04
3.934399999999999703e-02 -4.501410339000000022e+03 1.714600000000000000e+04
4.294100000000000000e-02 8.081469919999999547e+02 2.246000000000000000e+04
4.681300000000000044e-02 2.924769045000000006e+03 2.821400000000000000e+04
5.104600000000000110e-02 4.588470701000000190e+03 3.770800000000000000e+04
5.570599999999999857e-02 2.589269323999999870e+03 4.855000000000000000e+04
6.074600000000000138e-02 3.635178470000000175e+02 6.253600000000000000e+04
6.625000000000000333e-02 1.206295280999999932e+03 8.174200000000000000e+04
7.227799999999999503e-02 -1.591459170000000086e+03 1.062640000000000000e+05
7.883800000000000530e-02 -1.637598799999999954e+01 1.371780000000000000e+05
8.599999999999999312e-02 2.070261356999999862e+03 1.791340000000000000e+05
9.381000000000000449e-02 1.919339521999999988e+03 2.311740000000000000e+05
1.023109999999999992e-01 1.804555804000000080e+03 3.002780000000000000e+05
1.116059999999999969e-01 -1.876321159999999963e+02 3.909780000000000000e+05
1.217430000000000040e-01 -5.769689699999999988e+01 5.060720000000000000e+05
1.327959999999999974e-01 -2.367821490000000040e+02 6.578360000000000000e+05
1.448589999999999878e-01 2.587668750000000273e+02 8.534680000000000000e+05
1.580110000000000126e-01 3.082738729999999805e+02 1.107340000000000000e+06
1.723550000000000082e-01 2.848048390000000154e+02 1.436940000000000000e+06
1.880010000000000014e-01 3.676811480000000074e+02 1.864956000000000000e+06
2.050720000000000043e-01 6.826446849999999813e+02 2.421576000000000000e+06
2.236910000000000009e-01 2.918083340000000021e+02 3.141224000000000000e+06
2.439969999999999917e-01 3.437348109999999792e+02 4.077262000000000000e+06
2.661479999999999957e-01 3.305993960000000129e+02 5.291842000000000000e+06
2.903129999999999877e-01 4.027827849999999899e+02 6.868784000000000000e+06
3.166660000000000030e-01 3.499472170000000233e+02 8.910236000000000000e+06
3.454110000000000236e-01 3.630296030000000087e+02 1.156777000000000000e+07
3.767719999999999958e-01 3.944570269999999823e+02 1.501447200000000000e+07
