# k [h/Mpc], P [Mpc/h]^3, N
# courtesy: H. Gil-Marin
3.934399999999999703e-02 -4.484632636000000275e+03 1.714600000000000000e+04
4.294100000000000000e-02 4.344005549000000428e+03 2.246000000000000000e+04
4.681300000000000044e-02 1.046266297200000008e+04 2.821400000000000000e+04
5.104600000000000110e-02 7.034243419000000358e+03 3.770800000000000000e+04
5.570599999999999857e-02 8.608978730999999243e+03 4.855000000000000000e+04
6.074600000000000138e-02 4.329860515000000305e+03 6.253600000000000000e+04
6.625000000000000333e-02 6.137541680000000497e+02 8.174200000000000000e+04
7.227799999999999503e-02 4.816325820000000135e+02 1.062640000000000000e+05
7.883800000000000530e-02 -7.705485810000000129e+02 1.371780000000000000e+05
8.599999999999999312e-02 1.373589977000000090e+03 1.791340000000000000e+05
9.381000000000000449e-02 1.018792763000000036e+03 2.311740000000000000e+05
1.023109999999999992e-01 1.001959638000000041e+03 3.002780000000000000e+05
1.116059999999999969e-01 5.170189360000000534e+02 3.909780000000000000e+05
1.217430000000000040e-01 4.150743800000000192e+02 5.060720000000000000e+05
1.327959999999999974e-01 -1.385106959999999958e+02 6.578360000000000000e+05
1.448589999999999878e-01 -1.438891260000000045e+02 8.534680000000000000e+05
1.580110000000000126e-01 3.943768600000000220e+02 1.107340000000000000e+06
1.723550000000000082e-01 3.400382740000000013e+02 1.436940000000000000e+06
1.880010000000000014e-01 5.846020210000000361e+02 1.864956000000000000e+06
2.050720000000000043e-01 2.362610650000000021e+02 2.421576000000000000e+06
2.236910000000000009e-01 9.465976700000000221e+01 3.141224000000000000e+06
2.439969999999999917e-01 4.107795899999999847e+02 4.077262000000000000e+06
2.661479999999999957e-01 3.773611629999999764e+02 5.291842000000000000e+06
2.903129999999999877e-01 3.922012179999999830e+02 6.868784000000000000e+06
3.166660000000000030e-01 2.551191750000000127e+02 8.910236000000000000e+06
3.454110000000000236e-01 3.210580370000000130e+02 1.156777000000000000e+07
3.767719999999999958e-01 2.205076699999999903e+02 1.501447200000000000e+07
